domain name,Source Label,defaultCategory,basePath,exampleUrls,Category Labels,Entertainment,US Politics,Media,Business,Culture,World,Sports,Science,Technology,Opinion,Religion,Education,Junk
http://www.latimes.com,L.A. Times,,/,http://www.latimes.com/sports/la-sp-belmont-stakes-20140608-story.html,LEAVE THIS BLANK,celebrity,us_politics,,,,,sports,,,,,,
http://www.nytimes.com,New York Times,,/.*?/.*?/.*?/,http://www.nytimes.com/2014/06/08/us/cleveland-clinic-chief-out-of-running-for-va.html?ref=health,,,national,media,business,"health, arts, fashion, ",world,sports,science,technology,opinion,,,
http://www.syriadeeply.org,Syria Deeply,World,,http://www.syriadeeply.org/articles/2014/06/5572/assessing-state-syrias-detainees/,,,,,,,,,,,,,,
http://online.wsj.com,Wall Street Journal,,,,,,,,,,,,,,,,,
http://www.washingtonpost.com,Washington Post,,/,http://www.washingtonpost.com/politics/how-bill-gates-pulled-off-the-swift-common-core-revolution/2014/06/07/a830e32e-ec34-11e3-9f5c-9075d5508f0a_story.html?hpid=z1,,entertainment,politics,,business,lifestyle,world,sports,,business/technology,opinions,,,
http://www.bbc.com,BBC,,/,"http://www.bbc.com/news/world-us-canada-27745005
http://www.bbc.com/sport/0/football/27383495",,,news/world/us_and_canada,,,,news/world,sport,,,,,,
http://www.cnn.com,CNN,,/.*?/.*?/.*?/,http://www.cnn.com/2014/06/04/tech/innovation/cousteau-mission-31/index.html?hpt=hp_bn5,,showbiz,politics,,,"health, living, travel",world,,,tech,opinion,,,
http://www.slate.com,Slate,,/,http://www.slate.com/articles/health_and_science/science/2014/06/d_day_normandy_landing_science_the_army_navy_compromise_on_tides_and_timing.html,,,articles/news_and_politics,,"blogs/moneybox, articles/business","blogs/browbeat, blogs/outward",,"blogs/the_spot, articles/sports",articles/health_and_science,articles/technology,,,,
http://www.salon.com,Salon,,/articles/,http://www.slate.com/articles/business/how_failure_breeds_success/2014/05/richard_branson_tax_fraud_how_a_youthful_indiscretion_helped_create_a_billionaire.html?wpisrc=obinsite,,entertainment,politics,,business,life,,,sustainability,technology,,,,
http://www.vogue.com,Vogue,Culture,,http://www.vogue.com/vogue-daily/article/5-stylish-women-share-their-best-wedding-day-beauty-tips/,,,,,,,,,,,,,,
http://www.theverge.com,The Verge,Technology,,http://www.theverge.com/2014/6/3/5777166/mit-robot-gives-wearer-extra-arms-video-demonstation,,,,,,,,,,,,,,
http://www.vanityfair.com,Vanity Fair,Entertainment,,http://www.vanityfair.com/culture/2014/06/tony-nominee-portraits-2014,,,,,,,,,,,,,,
http://www.theatlantic.com,The Atlantic,,/,http://www.theatlantic.com/technology/archive/2014/06/fabien-cousteau-mission-31/371947/,,entertainment,politics,,business,"health, sexes",international,,,technology,,,education,
http://www.economist.com,The Economist,,/news/,http://www.economist.com/news/science-and-technology/21602988-human-beings-are-brainy-weaklings-muscled-out,,,,,"business-finance, economics",culture,world,,science-and-technology,science-and-technology,,,,
http://time.com,TIME,,,,,,,,,,,,,,,,,
http://www.newyorker.com,New Yorker,,/online/blogs/,http://www.newyorker.com/online/blogs/newsdesk/2014/06/eleven-posts-you-may-have-missed-this-week-5.html#slide_ss_0=1,,,newsdesk,,currency,"culture, joshuarothman ",,,elements,,,,,
http://www.thedailybeast.com,The Daily Beast,,,http://www.thedailybeast.com/articles/2014/06/08/the-drunken-downfall-of-evangelical-america-s-favorite-painter.html,,,,,,,,,,,,,,
http://www.buzzfeed.com/world,BuzzFeed,Junk,,,,,,,,,,,,,,,,
http://www.newrepublic.com,The New Republic,,,,,,,,,,,,,,,,,
http://nymag.com,New York Magazine,,,,,,,,,,,,,,,,,
http://www.motherjones.com,Mother Jones,,/,http://www.motherjones.com/politics/2014/06/romell-broom-ohio-execution,,,politics,culture,,,,,environment,,,,,
http://www.nationalreview.com,National Review,,,,,,,,,,,,,,,,,
http://www.foreignpolicy.com,Foreign Policy,World,,http://www.foreignpolicy.com/articles/2014/04/29/fps_situation_report_obama_gets_defensive_on_his_use_of_defense,,,,,,,,,,,,,,
http://www.theguardian.com/us,The Guardian,,,,,,,,,,,,,,,,,
http://www.foreignaffairs.com,Foreign Affairs,World,,http://www.foreignaffairs.com/articles/141549/omar-g-encarnacion/spains-game-of-thrones,,,,,,,,,,,,,,
http://grantland.com,Grantland,Sports,,,,,,,,,,,,,,,,
http://harpers.org,Harper's,,,,,,,,,,,,,,,,,
http://www.policymic.com,PolicyMic,Opinion,,,,,,,,,,,,,,,,
https://medium.com,Medium,Opinion,,,,,,,,,,,,,,,,
http://www.religiondispatches.org,Religion Dispatches,Religion,,,,,,,,,,,,,,,,
http://www.reuters.com,Reuters,,,,,,,,,,,,,,,,,
http://america.aljazeera.com,Al Jazeera,,,,,,,,,,,,,,,,,
http://www.huffingtonpost.com,Huffington Post,,,,,,,,,,,,,,,,,
http://www.vox.com,Vox.com,US Politics,,,,,,,,,,,,,,,,
http://www.fivethirtyeight.com,Five Thirty Eight,US Politics,,,,,,,,,,,,,,,,
SKIP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
http://www.fastcompany.com,"Fast Company (uses different url formats, too crazy for now)",Business,,http://www.fastcodesign.com/3031564/the-6-craziest-requirements-for-fifa-world-cup-uniforms,,,,,,,,,,,,,,
